dorsal,ventral,occipital,frontal
52,48,40,96
92,100,68,164
48,64,64,64
64,92,100,72
64,100,52,168
64,24,64,112
32,120,52,116
120,96,100,132
12,8,104,100
24,100,72,164
32,136,12,16
84,96,68,140
32,28,12,8
40,92,72,104
148,96,100,132
32,88,64,116
148,92,108,132
64,96,64,168
92,116,52,112
36,96,100,104
48,140,68,132
60,88,12,96
84,24,64,16
84,92,96,96
60,92,64,100
92,96,76,132
32,92,64,108
0,0,64,164
40,96,100,104
64,92,96,96
80,0,68,168
32,92,100,92
52,100,52,112
92,96,64,132
80,88,64,164
152,100,68,168
16,28,64,16
84,68,56,164
84,80,68,132
92,100,96,132
48,80,72,164
64,80,64,100
64,80,60,96
64,76,64,168
64,96,12,160
64,96,64,112
40,64,52,72
28,80,100,96
112,92,72,108
172,92,84,12
48,80,68,164
88,92,92,96
60,96,64,64
80,80,68,168
28,76,28,100
44,96,48,96
84,0,12,136
80,80,92,132
24,28,60,136
152,136,68,164
12,76,64,160
88,92,96,8
84,24,68,112
160,96,64,168
84,88,68,132
8,76,64,8
152,96,68,168
64,92,96,132
92,140,64,168
88,96,100,64
64,72,64,72
84,96,68,168
32,88,64,96
64,92,96,36
112,92,100,12
92,96,100,108
36,80,28,112
132,140,96,128
56,32,64,104
80,92,84,96
52,92,64,132
92,96,96,168
64,96,72,100
28,84,84,96
0,0,8,108
48,88,72,96
0,28,92,96
64,76,64,136
40,96,64,168
64,96,44,60
36,92,64,136
92,96,68,72
32,96,60,164
88,80,100,28
40,96,64,96
80,88,68,168
64,28,64,16
80,0,72,64
120,96,96,132
84,68,64,96
32,32,64,164
44,88,72,96
88,96,64,144
92,96,64,60
112,92,12,12
64,4,64,108
32,88,64,168
84,88,100,104
48,80,76,108
40,96,100,112
84,72,64,68
64,8,100,28
64,80,64,136
36,92,96,76
36,140,52,168
152,92,104,168
64,76,12,16
32,92,104,32
64,12,68,96
52,92,96,132
64,20,68,108
32,92,64,160
36,80,96,96
64,96,100,136
32,88,72,96
64,72,72,96
88,100,72,136
32,92,72,96
64,88,68,168
160,96,76,12
48,96,64,12
28,24,40,36
40,96,88,116
32,96,100,64
92,96,100,124
64,24,60,104
40,92,84,112
8,24,60,12
84,96,72,164
80,84,76,100
40,92,84,96
64,72,68,168
32,100,64,124
144,96,96,12
48,24,48,8
64,76,72,64
64,64,52,112
64,96,96,124
64,72,52,164
80,112,72,104
80,92,96,100
48,92,84,96
40,96,96,96
24,28,72,108
92,96,100,108
32,28,28,112
36,76,64,60
92,96,64,168
36,92,92,104
32,76,60,160
64,92,76,100
28,96,100,96
40,92,68,132
68,88,68,148
88,92,92,120
48,92,68,140
36,96,96,112
32,96,100,100
84,96,72,148
40,136,64,132
84,68,64,112
