,corrs,x_coord,y_coord,offset,label
144,-0.16274770749834544,[1],[70],[-276],Dorsal
145,-0.191805486287931,[1],[71],[-280],Dorsal
146,-0.15725841120404205,[1],[72],[-284],Dorsal
147,-0.042036791079515044,[1],[73],[-288],Dorsal
148,0.2798492435023634,[2],[0],[8],Ventral
149,0.4681026926229837,[2],[1],[4],Ventral
150,0.5578760911480936,[2],[2],[0],Same
151,0.5154505898579326,[2],[3],[-4],Dorsal
152,0.41038324680546867,[2],[4],[-8],Dorsal
153,0.2661042879338217,[2],[5],[-12],Dorsal
154,0.15539288414859218,[2],[6],[-16],Dorsal
155,0.0858973468671211,[2],[7],[-20],Dorsal
156,0.08449010262688825,[2],[8],[-24],Dorsal
157,0.1357222797324604,[2],[9],[-28],Dorsal
158,0.1715087910698139,[2],[10],[-32],Dorsal
159,0.1428355929716243,[2],[11],[-36],Dorsal
160,0.11704738679656625,[2],[12],[-40],Dorsal
161,0.12285024765213273,[2],[13],[-44],Dorsal
162,0.17483187019416688,[2],[14],[-48],Dorsal
163,0.16053220108280858,[2],[15],[-52],Dorsal
164,0.09662344496944257,[2],[16],[-56],Dorsal
165,0.057064889196580385,[2],[17],[-60],Dorsal
166,0.05754810556326336,[2],[18],[-64],Dorsal
167,0.026421055769670493,[2],[19],[-68],Dorsal
168,-0.002993190942100968,[2],[20],[-72],Dorsal
169,-0.02706302257494236,[2],[21],[-76],Dorsal
170,-0.05426174168432508,[2],[22],[-80],Dorsal
171,-0.08222124231339664,[2],[23],[-84],Dorsal
172,-0.11196161930802347,[2],[24],[-88],Dorsal
173,-0.14164175424721523,[2],[25],[-92],Dorsal
174,-0.14068112180142608,[2],[26],[-96],Dorsal
175,-0.11237058808422798,[2],[27],[-100],Dorsal
176,-0.044150328887192544,[2],[28],[-104],Dorsal
177,0.008304942989226887,[2],[29],[-108],Dorsal
178,0.04560120956511772,[2],[30],[-112],Dorsal
179,0.07154442069345186,[2],[31],[-116],Dorsal
180,0.07761992070555014,[2],[32],[-120],Dorsal
181,0.0719456395067487,[2],[33],[-124],Dorsal
182,0.07080863141999753,[2],[34],[-128],Dorsal
183,0.07825868861291677,[2],[35],[-132],Dorsal
184,0.09467917872744201,[2],[36],[-136],Dorsal
185,0.08341126604116357,[2],[37],[-140],Dorsal
186,0.06900339786578925,[2],[38],[-144],Dorsal
187,0.044634607170163786,[2],[39],[-148],Dorsal
188,0.027502971426323894,[2],[40],[-152],Dorsal
189,0.006793969521303266,[2],[41],[-156],Dorsal
190,-0.022695870315346617,[2],[42],[-160],Dorsal
191,-0.07598796993987098,[2],[43],[-164],Dorsal
192,-0.15303177671491458,[2],[44],[-168],Dorsal
193,-0.21207302033798212,[2],[45],[-172],Dorsal
194,-0.23410124643688932,[2],[46],[-176],Dorsal
195,-0.26111529001544787,[2],[47],[-180],Dorsal
196,-0.2990336950710866,[2],[48],[-184],Dorsal
197,-0.29873258857702933,[2],[49],[-188],Dorsal
198,-0.2865539182111993,[2],[50],[-192],Dorsal
199,-0.25699236355375177,[2],[51],[-196],Dorsal
200,-0.22673032311049587,[2],[52],[-200],Dorsal
201,-0.21044998747107194,[2],[53],[-204],Dorsal
202,-0.20816361720697293,[2],[54],[-208],Dorsal
203,-0.23443057677179835,[2],[55],[-212],Dorsal
204,-0.27071128638365427,[2],[56],[-216],Dorsal
205,-0.2834865116434838,[2],[57],[-220],Dorsal
206,-0.2637103772997871,[2],[58],[-224],Dorsal
207,-0.2304118480628181,[2],[59],[-228],Dorsal
208,-0.2169903686131601,[2],[60],[-232],Dorsal
209,-0.22789128409084147,[2],[61],[-236],Dorsal
210,-0.24236692872181634,[2],[62],[-240],Dorsal
211,-0.2342742559102772,[2],[63],[-244],Dorsal
212,-0.18580786386770665,[2],[64],[-248],Dorsal
213,-0.14845740430300983,[2],[65],[-252],Dorsal
214,-0.1473704748608948,[2],[66],[-256],Dorsal
215,-0.13768805372002027,[2],[67],[-260],Dorsal
216,-0.12480806577112617,[2],[68],[-264],Dorsal
217,-0.15405507560533763,[2],[69],[-268],Dorsal
218,-0.20855234425289126,[2],[70],[-272],Dorsal
219,-0.24210610302248906,[2],[71],[-276],Dorsal
220,-0.19059798685156643,[2],[72],[-280],Dorsal
221,-0.05356750930375836,[2],[73],[-284],Dorsal
222,0.10201141521733126,[3],[0],[12],Ventral
223,0.30313456835152197,[3],[1],[8],Ventral
224,0.4634736490031271,[3],[2],[4],Ventral
225,0.5389851111760137,[3],[3],[0],Same
226,0.5277808888874127,[3],[4],[-4],Dorsal
227,0.4184032891724485,[3],[5],[-8],Dorsal
228,0.29907783467302074,[3],[6],[-12],Dorsal
229,0.1921718050357535,[3],[7],[-16],Dorsal
230,0.14586476952305455,[3],[8],[-20],Dorsal
231,0.15989450037962902,[3],[9],[-24],Dorsal
232,0.19103164504841552,[3],[10],[-28],Dorsal
233,0.1483624950233918,[3],[11],[-32],Dorsal
234,0.11207371570625964,[3],[12],[-36],Dorsal
235,0.10489357377381457,[3],[13],[-40],Dorsal
236,0.1315046209754242,[3],[14],[-44],Dorsal
237,0.12536323768984078,[3],[15],[-48],Dorsal
238,0.07696491617997336,[3],[16],[-52],Dorsal
239,0.039554448357886934,[3],[17],[-56],Dorsal
240,0.02317672238932529,[3],[18],[-60],Dorsal
